2.00,47.0000000,46.8446075, 0.1553925
2.06,50.6497410,50.4864574, 0.1632835
2.12,54.5260314,54.3564849, 0.1695465
2.18,58.6397058,58.4652761, 0.1744296
2.24,63.0019098,62.8237720, 0.1781378
2.30,67.6241000,67.4432592, 0.1808408
2.36,72.5180442,72.3353645, 0.1826797
2.42,77.6958210,77.5120490, 0.1837720
2.48,83.1698202,82.9856041, 0.1842161
2.54,88.9527426,88.7686483, 0.1840943
2.60,95.0576000,94.8741240, 0.1834760
2.66,101.4977154,101.3152955, 0.1824198
2.72,108.2867226,108.1057474, 0.1809751
2.78,115.4385666,115.2593825, 0.1791840
2.84,122.9675034,122.7904211, 0.1770822
2.90,130.8881000,130.7133998, 0.1747002
2.96,139.2152346,139.0431703, 0.1720642
3.02,147.9640962,147.7948996, 0.1691966
3.08,157.1501850,156.9840684, 0.1661165
3.14,166.7893122,166.6264714, 0.1628408
3.20,176.8976000,176.7382164, 0.1593836
3.26,187.4914818,187.3357242, 0.1557575
3.32,198.5877018,198.4357284, 0.1519734
3.38,210.2033154,210.0552749, 0.1480405
3.44,222.3556890,222.2117219, 0.1439671
3.50,235.0625000,234.9227397, 0.1397603
3.56,248.3417370,248.2063104, 0.1354266
3.62,262.2116994,262.0807281, 0.1309713
3.68,276.6909978,276.5645984, 0.1263993
3.74,291.7985538,291.6768388, 0.1217150
3.80,307.5536000,307.4366780, 0.1169220
3.86,323.9756802,323.8636565, 0.1120237
3.92,341.0846490,340.9776260, 0.1070230
3.98,358.9006722,358.7987496, 0.1019226
4.04,377.4442266,377.3475018, 0.0967248
4.10,396.7361000,396.6446684, 0.0914316
4.16,416.7973914,416.7113464, 0.0860449
4.22,437.6495106,437.5689442, 0.0805664
4.28,459.3141786,459.2391811, 0.0749975
4.34,481.8134274,481.7440879, 0.0693395
4.40,505.1696000,505.1060064, 0.0635936
4.46,529.4053506,529.3475897, 0.0577608
4.52,554.5436442,554.4918020, 0.0518422
4.58,580.6077570,580.5619185, 0.0458385
4.64,607.6212762,607.5815257, 0.0397505
4.70,635.6081000,635.5745211, 0.0335789
4.76,664.5924378,664.5651134, 0.0273243
4.82,694.5988098,694.5778224, 0.0209874
4.88,725.6520474,725.6374789, 0.0145685
4.94,757.7772930,757.7692248, 0.0080682
5.00,791.0000000,790.9985132, 0.0014868
